funits	shares	queue_slots	queue_total	project
1099	0.259489	1299	5006	agardlab,chenglab,frostlab,stroudlab
4054	0.253496	1269	5006	salilab
901	0.056332	282	5006	pollardlab
874	0.054734	274	5006	mac-users
627	0.039153	196	5006	kortemmelab
594	0.037155	186	5006	jacobsonlab
1	0.032761	164	5006	shoichetlab
497	0.031163	156	5006	limlab
475	0.029764	149	5006	hernandezlab
445	0.027767	139	5006	genetics
381	0.023771	119	5006	babbittlab
135	0.021974	110	5006	grabelab
280	0.017579	88	5006	fraserlab
253	0.015781	79	5006	surbecklab
214	0.013384	67	5006	ferrinlab
212	0.013184	66	5006	elsamadlab
166	0.010388	52	5006	dilllab
151	0.009389	47	5006	degradolab
118	0.007391	37	5006	tanglab
119	0.007391	37	5006	fischbachlab
109	0.006792	34	5006	nagarajanmukherjeelab
90	0.005593	28	5006	lilab
64	0.003995	20	5006	turnbaughlab
65	0.003995	20	5006	baranzinilab
54	0.003396	17	5006	chiulab
48	0.002996	15	5006	zaitlenlab
48	0.002996	15	5006	saviclab
36	0.002197	11	5006	jameslab
32	0.001998	10	5006	weissmanlab
27	0.001598	8	5006	schreinerlab
12	0.000799	4	5006	maleylab
9	0.000599	3	5006	sysbiocenter
11	0.000599	3	5006	kroganlab
2	0.000200	1	5006	voigtlab
2	0.000200	1	5006	cohenlab
